GNSS ALTITUDE,GNSS TIME
438.8641412433109,03:32:38
3724.214235184745,03:32:39
2572.415191248142,03:32:40
2168.154132456895,03:32:41
3363.3757409421287,03:32:42
3751.726303863719,03:32:43
3197.9823847599787,03:32:44
4694.361505653069,03:32:45
2708.371786993963,03:32:46
3353.2889906585333,03:32:47
1885.8807898573336,03:32:48
1907.9750177265992,03:32:49
2954.7710977997003,03:32:50
3835.46801416034,03:32:51
4469.922520434218,03:32:52
1317.32159641062,03:32:53
745.5195422668731,03:32:54
1965.8137636277104,03:32:55
179.8394374130935,03:32:56
4154.214182173688,03:32:57
3588.730859878308,03:32:58
4310.309204576192,03:32:59
4510.559055562592,03:33:00
180.21581882418369,03:33:01
1835.2940572964687,03:33:02
3070.1776813978554,03:33:03
1967.2174638804984,03:33:04
4170.194699718506,03:33:05
2779.055626495144,03:33:06
4183.584580889055,03:33:07
1970.4653580951413,03:33:08
601.8922660532905,03:33:09
4378.692635940875,03:33:10
2593.1471528232687,03:33:11
3574.733568558523,03:33:12
2278.312221325932,03:33:13
4746.382424303501,03:33:14
2491.032472060306,03:36:07
2045.7931582418764,03:36:08
1902.753473304884,03:36:09
4050.311358620064,03:36:10
2209.380032830928,03:36:11
1524.2172390654434,03:36:12
4701.1708754051015,03:36:13
